Date,Price,Open,High,Low,Vol.,Change %
6/1/2026,"6,034.95","6,053.88","6,080.08","5,997.74",,-0.26%
5/29/2026,"6,050.54","6,064.01","6,105.23","6,050.54",,-0.08%
5/28/2026,"6,055.11","6,064.50","6,077.45","6,023.26",,-0.25%
5/27/2026,"6,070.54","6,069.91","6,131.09","6,056.65",,0.11%
5/26/2026,"6,064.15","6,130.16","6,130.16","6,064.15",,-1.18%
5/25/2026,"6,136.66","6,045.37","6,144.64","6,045.37",,1.95%
5/22/2026,"6,019.45","5,985.63","6,036.46","5,985.63",,0.99%
5/21/2026,"5,960.32","5,966.87","6,008.17","5,924.65",,-0.26%
5/20/2026,"5,976.07","5,856.16","6,007.29","5,842.18",,2.13%
5/19/2026,"5,851.16","5,857.75","5,910.48","5,843.59",,0.04%
5/18/2026,"5,849.00","5,797.66","5,876.41","5,762.15",,0.36%
5/15/2026,"5,827.76","5,908.71","5,908.71","5,811.24",,-1.81%
5/14/2026,"5,934.96","5,877.37","5,937.87","5,877.37",,1.26%
5/13/2026,"5,861.07","5,819.79","5,861.07","5,801.16",,0.91%
5/12/2026,"5,808.45","5,861.94","5,861.94","5,801.49",,-1.48%
5/11/2026,"5,895.45","5,907.36","5,909.23","5,870.91",,-0.27%
5/8/2026,"5,911.53","5,950.21","5,950.21","5,901.12",,-1.02%
5/7/2026,"5,972.65","6,032.75","6,066.39","5,967.92",,-0.90%
5/6/2026,"6,027.13","5,880.29","6,064.50","5,880.29",,2.68%
5/5/2026,"5,869.63","5,758.38","5,869.63","5,758.38",,1.84%
5/4/2026,"5,763.61","5,878.79","5,882.01","5,754.96",,-2.00%
4/30/2026,"5,881.51","5,778.65","5,881.51","5,747.76",,1.12%
4/29/2026,"5,816.48","5,833.86","5,850.30","5,796.57",,-0.34%
4/28/2026,"5,836.10","5,862.10","5,885.15","5,822.26",,-0.41%
4/27/2026,"5,860.32","5,878.86","5,932.33","5,852.55",,-0.39%
4/24/2026,"5,883.48","5,874.91","5,922.41","5,842.35",,-0.19%
4/23/2026,"5,894.73","5,887.98","5,908.52","5,844.74",,-0.19%
4/22/2026,"5,906.22","5,944.47","5,960.63","5,899.75",,-0.41%
